ts_utc,site_id,endpoint_id,state,status_code,error_type,error_detail,latency_ms,attempts,slow
2026-03-02T06:50:42+00:00,1,1,UP,200,,,120,1,0
2026-03-02T06:50:42+00:00,2,2,DOWN,403,http_403,,96,3,0
2026-03-02T06:50:42+00:00,3,3,UP,200,,,334,1,0
2026-03-02T06:50:42+00:00,4,4,DOWN,503,http_503,,109,3,0
2026-03-02T06:50:42+00:00,5,5,UP,200,,,94,1,0
2026-03-02T06:50:42+00:00,1,6,REVIEW,301,http_301,,40,1,0
2026-03-02T07:05:42+00:00,1,1,UP,200,,,134,1,0
2026-03-02T07:05:42+00:00,2,2,DOWN,403,http_403,,94,3,0
2026-03-02T07:05:42+00:00,3,3,UP,200,,,440,1,0
2026-03-02T07:05:42+00:00,4,4,DOWN,503,http_503,,121,3,0
2026-03-02T07:05:42+00:00,5,5,UP,200,,,113,1,0
2026-03-02T07:05:42+00:00,1,6,REVIEW,301,http_301,,74,1,0
2026-03-02T07:06:57+00:00,1,1,UP,200,,,102,1,0
2026-03-02T07:06:57+00:00,2,2,DOWN,403,http_403,,101,3,0
2026-03-02T07:06:57+00:00,3,3,UP,200,,,177,1,0
2026-03-02T07:06:57+00:00,4,4,DOWN,503,http_503,,1374,3,0
2026-03-02T07:06:57+00:00,5,5,UP,200,,,136,1,0
2026-03-02T07:06:57+00:00,1,6,REVIEW,301,http_301,,53,1,0
